KODEPT,PT,tutup,KEBIJAKAN_UNGGAH,KEBIJAKAN_VERIFIED,KEBIJAKAN_VALID,STANDAR_INSTITUSI_UNGGAH,STANDAR_INSTITUSI_VERIFIED,STANDAR_INSTITUSI_VALID,JML_STDLAIN_VALID,AMI_UNGGAH,AMI_VERIFIED,AMI_VALID,EVALUASI_LAIN_UNGGAH,EVALUASI_LAIN_VERIFIED,EVALUASI_LAIN_VALID,JML_EVAL_LAIN_VALID,PENGENDALIAN_UNGGAH,PENGENDALIAN_VERIFIED,PENGENDALIAN_VALID,PENINGKATAN_UNGGAH,PENINGKATAN_VERIFIED,PENINGKATAN_VALID,BOBOT VALID,KETERANGAN VALID,BOBOT VERIFIKASI,KETERANGAN,BOBOT UNGGAH ,KETERANGAN,KLASTER
44249,Akademi Teknologi Radiologi,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Hijau
44105,Akademi Telekomunikasi Bogor,,6,6,1,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,9%,Belum Tervalidasi,23%,Belum Terverifikasi,26%,Tidak Lengkap,Kuning
44126,Akademi Telekomunikasi Nusantara,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44045,AMIK Bumi Nusantara,,6,5,0,10,10,0,0,3,3,0,4,0,0,1,10,10,0,6,6,0,0%,Tidak Ada,97%,Belum Terverifikasi,100%,Sudah Unggah,Merah
44108,AMIK Citra Buana Indonesia,,6,6,6,8,8,8,1,3,3,3,4,1,1,1,3,3,3,5,5,5,71%,Belum Tervalidasi,71%,Belum Terverifikasi,71%,Tidak Lengkap,Merah
44233,AMIK Mapan Tangerang,,6,6,6,5,5,5,3,0,0,0,0,0,0,7,0,0,0,0,0,0,31%,Belum Tervalidasi,31%,Belum Terverifikasi,31%,Tidak Lengkap,Merah
44123,AMIK Pakarti Luhur,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Kuning
44102,AMIK Purnama Niaga,,6,4,4,10,10,10,0,3,0,0,3,0,0,0,3,0,0,6,0,0,40%,Belum Tervalidasi,40%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
44068,AMIK Sultan Agung,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,17%,Belum Terverifikasi,17%,Tidak Lengkap,Merah
44009,AMIK Wira Nusantara,,6,6,6,8,8,8,1,3,3,3,0,0,0,0,1,1,1,6,6,6,69%,Belum Tervalidasi,69%,Belum Terverifikasi,69%,Tidak Lengkap,Hijau
41131,Deakin University,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
42016,Institut Bisnis Dan Informatika Kesatuan,,6,6,6,4,4,4,0,3,0,0,4,4,3,0,1,1,1,6,6,6,49%,Belum Tervalidasi,49%,Belum Terverifikasi,57%,Tidak Lengkap,Hijau
42010,Institut Bisnis Muhammadiyah Bekasi,,6,6,0,10,10,9,8,3,3,2,3,3,2,0,10,10,10,6,6,0,60%,Belum Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Kuning
