,KODE,PT,KOTA,FASWIL,KEBIJAKAN,,,STANDAR_INSTITUSI,,,STDL,AMI,,,EVALUASI_LAIN,,,JML. EV. LAIN,PENGENDALIAN,,,PENINGKATAN,,,BOBOT VLD,Ket. Validasi,BOBOT VER,Ket. Verifikasi,BOBOT UNG,Ket. Unggah,Klaster,COUNT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,,,10,,,,3,,,,,,,10,,,6,,,35,,35,,35,,,,
,,,,,UNG,VER,VLD,UNG,VER,VLD,VLD,UNG,VER,VLD,UNG,VER,VLD,VLD,UNG,VER,VLD,UNG,VER,VLD,% (VLD),,% (VER),,% (UNG),,,,
64,45042,Politeknik Enjinering Indorama,Kabupaten Purwakarta,Nandi Widarman S,6,6,6,10,10,10,0,3,3,3,1,0,0,0,9,9,9,6,6,5,94%,Belum Tervalidasi,97%,Belum Terverifikasi,97%,Tidak Lengkap,Hijau,,
65,43359,Sekolah Tinggi Ilmu Komputer El Rahma,Kota Bogor,Yusep Ikrawan,6,6,6,10,10,10,2,3,3,3,4,0,0,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,,
66,43217,Sekolah Tinggi Teknik Karawang,Kabupaten Karawang,Meita Lukitawati Sujatna,6,6,6,10,10,10,1,3,3,3,0,0,0,1,5,5,5,6,6,6,86%,Belum Tervalidasi,86%,Belum Terverifikasi,86%,Tidak Lengkap,Hijau,,
67,43103,STISIP Widyapuri Mandiri,Kabupaten Sukabumi,Dewi Kurniasih,6,6,6,10,10,10,2,3,3,3,4,0,0,0,10,10,10,6,0,0,83%,Belum Tervalidasi,83%,Belum Terverifikasi,100%,Sudah Unggah,Hijau,,
68,41011,Universitas Advent Indonesia,Kabupaten Bandung Barat,Emma Hermawati Muhari,6,6,6,10,10,10,3,3,3,3,0,0,0,0,6,6,6,6,6,5,86%,Belum Tervalidasi,89%,Belum Terverifikasi,89%,Tidak Lengkap,Hijau,,
69,41024,Universitas Garut,Kabupaten Garut,Supriyadi Sadikin,6,6,6,10,10,10,12,3,3,3,1,0,0,1,4,4,4,6,6,6,83%,Belum Tervalidasi,83%,Belum Terverifikasi,83%,Tidak Lengkap,Hijau,,
70,41018,Universitas Islam 45,Kota Bekasi,Yusep Ikrawan,6,6,6,10,10,10,7,3,3,3,0,0,0,3,5,5,5,6,6,6,86%,Belum Tervalidasi,86%,Belum Terverifikasi,86%,Tidak Lengkap,Hijau,,
71,41104,Universitas Logistik dan Bisnis Internasional,Kota Bandung,Nanah Sujanah,6,6,6,10,10,10,1,3,3,3,3,0,0,0,10,10,10,6,0,0,83%,Belum Tervalidasi,83%,Belum Terverifikasi,100%,Sudah Unggah,Hijau,,
72,41025,Universitas Nurtanio,Kota Bandung,Nan Rahminawati,6,6,6,10,10,10,1,3,3,3,3,0,0,0,10,10,10,6,6,0,83%,Belum Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,,
73,41041,Universitas Presiden,Kabupaten Bekasi,Emma Hermawati Muhari,6,6,6,10,10,10,1,3,3,3,4,4,3,0,10,9,9,6,5,5,94%,Belum Tervalidasi,94%,Belum Terverifikasi,100%,Sudah Unggah,Hijau,,
